Category,Periodical
AMERICAN FEDERATION OF LABOR,"American Federationist (monthly). Established 1894, 64 and more pages, $1. The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. William Green, ed."
AMERICAN FEDERATION OF LABOR,"American Federation of Labor Weekly News Service (weekly). The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. A single page clip-sheet giving ""a brief summary of important matters affecting labor."
AMERICAN FEDERATION OF LABOR,"International Labor News Service (irregular). International Labor Press of America, American Federation of Labor Building, Washington, D. C."
AMERICAN FEDERATION OF LABOR,"Metal Trades Department Bulletin, The (monthly). Established 1919, 8 pages, circulation 1000. Metal Trades Department of the American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. James O'Connell, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Amalgamated Journal, The (weekly). Thursdays. Established 1899, 24 pages, $1.50. Amalgamated Association of Iron, Steel and Tin Workers of North America, 510 Fourth Avenue, Pittsburgh, Pa. Ben I. Davis, ed. International Labor News, Labor Bureau, Inc., Comission of the Interchurch."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Federation of Teachers Monthly Bulletin (monthly). Established 1921, 4 pages, $1, circulation 5,000. Ameri can Federation of Teachers, 327 South La Salle Street, Chicago, Ill. F. G. Stecker, ed. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Flint (monthly). Established 1909, 48 pages, $1, cir culation 10,000. American Flint Glass Workers' Union, 337-48 Ohio Building, Toledo, Ohio. Joseph Gillooly, ed. International Labor News. Uses mats."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Photo Engraver, The (monthly). Established 1907, 72 to 80 pages, $.75, circulation 8,000. International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Ill. Matthew Woll, ed. International Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Pressman, The (monthly). Established 1889, 64 pages, $2, circulation 27,000. International Printing Pressmen and Assistants' Union of North America, Pressmen's Home, Tenn. Thomas E. Dunwody, ed. International Labor News, American Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Bakers' Journal, The (weekly). Saturdays. English and Ger man. Established 1885, 4 pages, $1, circulation 28,000. Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Ill. Charles F. Hohmann, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Blacksmiths Journal (bimonthly). Established 1889, 32-64 pages, $1, circulation 5,000. International Brotherhood of Blacksmiths, Drop Forgers and Helpers, 2922 Washing ton Boulevard, Chicago, Ill. J. W. Kline, ed. Ameri can Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Boilermakers and Iron Shipbuilders' Journal, The (monthly). Established 1888, 48 pages, $1, circulation 23,000. In ternational Brotherhood of Boilermakers, Iron Ship builders, and Helpers of America, Suite 524, Brother hood Building, Kansas City, Kas. J. B. Casey, ed. and mgr. International Labor News, American Federation of Labor Weekly News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Bottle Maker, The (monthly). Established 1919, 32 pages, $.50, circulation 3,400. Glass Bottle Blowers' Association of the United States and Canada, 1006 Colonial Building, Philadelphia, Pa. James Maloney, ed. International Labor News."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Brewery, Flour, Cereal, and Soft Drink Workers' Journal (fortnightly). Saturdays. Established 1886, 4 pages, $2, circu lation 16,000. The Brewery, Flour, Cereal and Soft Drink Workers' International Union of America, 2347 Vine Street, Cincinnati, Ohio. Julius Zorn, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Bricklayer, Mason and Plasterer, The (monthly). Established 1896, $.75. Bricklayers', Masons', and Plasterers' In ternational Union, University Park Building, Indian apolis, Ind. William Dobson, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Bridgemen's Magazine, The (monthly). Established 1901, 48 pages, $1, circulation 19,000. International Association of Bridge, Structural, and Ornamental Iron Workers, 1615 Syndicate Trust Building, St. Louis, Mo. W. J. McCain, ed."
AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Broom Maker, The (monthly). Established 1902, 16-20 pages, $1, circulation 1;200. International Broom and Whisk Makers' Union, 853 King Place, Chicago, Ill. Will R. Boyer, ed."
