Title,Frequency,Full Address,Publisher,Street Address,lat,lon,People,Category,ALPDEntry
American Federation of Teachers Monthly Bulletin,monthly,"American Federation of Teachers, 327 South La Salle Street, Chicago, Illinois",American Federation of Teachers,"327 South La Salle Street, Chicago, Illinois",41.8777474455129,-87.6316964767353,F. G. Stecker,American Federation of Labor National and International Unions,"American Federation of Teachers Monthly Bulletin (monthly). Established 1921, 4 pages, $1, circulation 5,000. Ameri can Federation of Teachers, 327 South La Salle Street, Chicago, Ill. F. G. Stecker. Uses mats."
American Photo Engraver,monthly,"International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Illinois",International Photo Engravers' Union,"166 West Washington Street, Chicago, Illinois",41.88343865,-87.6330603500175,Matthew Woll,American Federation of Labor National and International Unions,"American Photo Engraver, The (monthly). Established 1907, 72 to 80 pages, $.75, circulation 8,000. International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Ill. Matthew Woll. International Labor News."
Bakers' Journal,weekly,"Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Illinois",Bakery and Confectionery Workers' International Union,"2719 Best Avenue, Chicago, Illinois",41.7863717,-87.6074112,Charles F Hohmann,American Federation of Labor National and International Unions,"Bakers' Journal, The (weekly). Saturdays. English and Ger man. Established 1885, 4 pages, $1, circulation 28,000. Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Ill. Charles F. Hohmann."
Blacksmiths Journal,bimonthly,"International Brotherhood of Blacksmiths, Drop Forgers and Helpers, 2922 Washing ton Boulevard, Chicago, Illinois","International Brotherhood of Blacksmiths, Drop Forgers and Helpers,","2922 Washington Boulevard, Chicago, Illinois",41.883251,-87.6994433474215,J. W.  Kline,American Federation of Labor National and International Unions,"Blacksmiths Journal (bimonthly). Established 1889, 32-64 pages, $1, circulation 5,000. International Brotherhood of Blacksmiths, Drop Forgers and Helpers, 2922 Washing ton Boulevard, Chicago, Ill. J. W. Kline. Ameri can Federation of Labor Weekly News."
Broom Maker,monthly,"International Broom and Whisk Makers' Union, 853 King Place, Chicago, Illinois",International Broom and Whisk Makers' Union,"853 King Place, Chicago, Illinois",[],,Will R.  Boyer,American Federation of Labor National and International Unions,"Broom Maker, The (monthly). Established 1902, 16-20 pages, $1, circulation 1;200. International Broom and Whisk Makers' Union, 853 King Place, Chicago, Ill. Will R. Boyer."
Cigarmakers' Official Journal,monthly,"Cigarmakers' Interna tional Union of America, Room 620, 508 South Dear born Street, Chicago, Illinois",Cigarmakers' Interna tional Union of America,"508 South Dearborn Street, Chicago, Illinois",41.876887,-87.6293065,George W. Perkins,American Federation of Labor National and International Unions,"Cigarmakers' Official Journal (monthly). Established 1864, 16- 50 pages, $1, circulation 19,000. Cigarmakers' Interna tional Union of America, Room 620, 508> South Dear born Street, Chicago, Ill. George W. Perkins."
Commercial Telegraphers' Journal,monthly,"The Commercial Telegraphers' Union of America, 113 South Ashland Boulevard, Chicago, Illinois",The Commercial Telegraphers' Union of America,"113 South Ashland Boulevard, Chicago, Illinois",41.8788889,-87.6667174,NONE,American Federation of Labor National and International Unions,"Commercial Telegraphers' Journal, The (monthly). Established 1902, 32-64 pages, $2. The Commercial Telegraphers' Union of America, 113 South Ashland Boulevard, Chicago, Ill. International Labor News. Uses mats."
International Steam Engineer,monthly,"International Union of Steam and Operating Engineers, 6334-36 Yale Avenue, Chicago, Illinois",International Union of Steam and Operating Engineers,"6334-36 Yale Avenue, Chicago, Illinois",41.4963951,-87.6585126,Dave Evans,American Federation of Labor National and International Unions,"International Steam Engineer (monthly). Established 1889, 80 pages, $1, circulation 41,348. International Union of Steam and Operating Engineers, 6334-36 Yale Avenue, Chicago, Ill. Dave Evans. Circulates among chief and operating engineers in power plants exclusively."
Life and Labor Bulletin,monthly,"National Women's Trade Union League of America, 311 South Ashland Boulevard, Chicago, Illinois",National Women's Trade Union League of America,"311 South Ashland Boulevard, Chicago, Illinois",41.8788889,-87.6667174,Elisabeth Christman,American Federation of Labor National and International Unions,"Life and Labor Bulletin (monthly). Established 1922, 4 pages, $1, circulation 2,500. National Women's Trade Union League of America, 311 South Ashland Boulevard, Chicago, Ill. Elisabeth Christman."
"'Plumbers, Gas and Steam Fitters' Journal",monthly,"United Association of Plumbers and Steam Fitters, 1138 North Dearborn Street, Chicago, IL",United Association of Plumbers and Steam Fitters,"1138 North Dearborn Street, Chicago, IL",41.8948505,-87.6297359,NONE,American Federation of Labor National and International Unions,"'Plumbers, Gas and Steam Fitters' Journal (monthly). Established 1885, $1. United Association of Plumbers and Steam Fitters, 1138 North Dearborn Street, Chicago, 111."
Signalmen's Journal,monthly,"Brotherhood of Railway Signal men of America, 4750 North Kimball Avenue, Chicago, Illinois",Brotherhood of Railway Signal men of America,"4750 North Kimball Avenue, Chicago, Illinois",41.967459728797,-87.7134463347377,T. A.  Austin,American Federation of Labor National and International Unions,"Signalmen's Journal (monthly). Established 1920, 32-64 pages, $1, circulation 10,000. Brotherhood of Railway Signal men of America, 4750 North Kimball Avenue, Chicago, Ill. T. A. Austin. Labor Bureau, Committee of 48, Fair Tariff League."
Tailor,fortnightly,"Journeymen Tailors' Union of Am erica, 6753 Stony Island Avenue, Chicago, Illinois",Journeymen Tailors' Union of Am erica,"6753 Stony Island Avenue, Chicago, Illinois",[],,Thomas Sweeney,American Federation of Labor National and International Unions,"Tailor, The (fortnightly). Tuesdays. Established 1887, 4 pages, circulation 9,500. Journeymen Tailors' Union of Am erica, 6753 Stony Island Avenue, Chicago, Ill. Thomas Sweeney. International Labor News. Uses mats some times."
Union Clay Worker,monthly,"United Brick and Clay Workers' Union, Room 309, 327 South La Salle Street, Chicago, Illinois",United Brick and Clay Workers' Union,"327 South La Salle Street, Chicago, Illinois",41.8777474455129,-87.6316964767353,William Tracy,American Federation of Labor National and International Unions,"Union Clay Worker (monthly). Established 1918, 40 pages, $1, circulation 10,000. United Brick and Clay Workers' Union, Room 309, 327 South La Salle Street, Chicago, Ill. William Tracy. International Labor News."
Railroad Worker,monthly,"American Federation of Rail road Workers, 315 South Ashland Boulevard, Chicago, Illinois",American Federation of Rail road Workers,"315 South Ashland Boulevard, Chicago, Illinois",41.8788889,-87.6667174,George C. Eckroth,Independent Trade Unions,"Railroad Worker, The (monthly). Established 1901, 48 pages, $.60, circulation 20,000. American Federation of Rail road Workers, 315 South Ashland Boulevard, Chicago, Ill. George C. Eckroth. League for Industrial Democracy, Federated Press, etc. Uses mats some times."
Railway Employees' Journal,monthly,"Brotherhood of Railroad Employees, 190 North State Street, Chicago, Illinois",Brotherhood of Railroad Employees,"190 North State Street, Chicago, Illinois",41.885569,-87.6285702,W. B.  Montgomery,Independent Trade Unions,"Railway Employees' Journal (monthly). Established 1913, $1. Brotherhood of Railroad Employees, 190 North State Street, Chicago, Ill. W. B. Montgomery."
Railway Expressman,monthly,"Order of Railway Expressmen, 105 West Monroe Street, Chicago, Illinois.",Order of Railway Expressmen,"105 West Monroe Street, Chicago, Illinois.",41.8806101985639,-87.6311201866877,E. H.  Wilson,Independent Trade Unions,"Railway Expressman, The (monthly)- Established 1919, 64 pages, $1, circulation 18,000. Order of Railway Expressmen, 105 West Monroe Street, Chicago, Ill. E. H. Wilson. Federated Press, Labor Press League,"
Steam Shovel and Dredge,monthly,"International Brother hood of Steam Shovel and Dredge Men, Room 1208, 105 West Monroe Street, Chicago, Illinois",International Brother hood of Steam Shovel and Dredge Men,"105 West Monroe Street, Chicago, Illinois",41.8806101985639,-87.6311201866877,"F. E.  Langdon,  M. H. Madden",Independent Trade Unions,"Steam Shovel and Dredge (monthly). Established 1900, 64 pages, $1.50, circulation 6,000. International Brother hood of Steam Shovel and Dredge Men, Room 1208, 105 West Monroe Street, Chicago, Ill. F. E. Langdon, M. H. Maddens. Uses mats."
