Title,Frequency,Publisher,People,Street Address,lat,lon,Category,ALPDEntry
Equity Magazine,monthly,The Actors' Equity Association of America,"Grant Stewart, Alfred Harding","45 West 47th Street, New York, New York",40.75775175,-73.98069146,American Federation of Labor National and International Unions,"Equity Magazine, The (monthly). Established 1915, 44 pages, $1, circulation 12,000. The Actors' Equity Association of America, 45 West 47th Street, New York, N. Y. Grant Stewart., Alfred Harding, assoc. ed. Uses cuts."
Fur Worker,fortnightly,International Fur Workers' Union of United States and Canada,"Morris Kaufman, A. Rosebury","9 Jackson Avenue, Long Island City, New York",40.743364,-73.9510647,American Federation of Labor National and International Unions,"Fur Worker, The (fortnightly). Yiddish and English. Established 1916, 8-12 pages, $.50, circulation 12,000. International Fur Workers' Union of United States and Canada, 9 Jackson Avenue, Long Island City, N. Y. Morris Kaufman, A. Roseburys. Federated Press, Inter national Labor News. Labor and Socialist."
Garment Worker,weekly,United Garment Workers,NONE,"117 Bible House, Astor Place, New York, New York",40.7298896,-73.9914165,American Federation of Labor National and International Unions,"Garment Worker, The (weekly). Established 1901, $1. United Garment Workers, 117 Bible House, Astor Place, New York, N. Y."
Gerechtigkeit,weekly,International Ladies' Garment Workers' Union,"S. Yanofsky, Max D. Danish","3 West 16th Street, New York, New York",40.778389,-73.5343509,American Federation of Labor National and International Unions,"Gerechtigkeit (weekly). Jewish. Fridays. Established 1918, 16 pages, $1.50, circulation 42,050. International Ladies' Garment Workers' Union 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danishs."
Giustizia,weekly,International Ladies' Garment Workers' Union,R. Rende,"3 West 16th Street, New York, New York",40.778389,-73.5343509,American Federation of Labor National and International Unions,"Giustizia (weekly). Italian. Fridays. Established 1918, 12 pages, $1, circulation 17,700. International Ladies' Gar ment Workers' Union, 3 West 16th Street, New York, N. Y. R. Rende."
General Bulletin,weekly,International Alliance of Theatrical Stage Employees,NONE,"110 West 40th Street, New York, New York",40.75370795,-73.98596479,American Federation of Labor National and International Unions,"General Bulletin (weekly). International Alliance of Theatrical Stage Employees, 110 West 40th Street, New York, N. Y."
Headgear Worker,fortnightly,"Cloth Hat Cap, and Millinery Workers' International Union",Jacob M Budish,"621 Broadway, New York, New York",40.8894465,-73.8981876,American Federation of Labor National and International Unions,"Headgear Worker, The (fortnightly). English and Yiddish. Fridays. Established 1916, 4-8 pages, $.50, circulation 15,000. Cloth Hat, Cap, and Millinery Workers' International Union, 621 Broadway, New York, N. Y. J. M. Budish. International Labor News, Federated Press."
International Woodcarver,monthly,International Woodcarvers' Association of North America,Frank Detlef,"86-05 85th Street, New York",40.6934634,-73.8591278,American Federation of Labor National and International Unions,"International Woodcarver, The (monthly). Established 1899, 4 pages, circulation 1,500. International Woodcarvers' Association of North America, 8605 85th Street, Jamaica, New York. Frank Detlef."
Jewelry Workers' Monthly Bulletin,monthly,International Jewelry Workers' Union,NONE,"1674 Broadway, New York, New York",40.76279,-73.9829442,American Federation of Labor National and International Unions,"Jewelry Workers' Monthly Bulletin (monthly). International Jewelry Workers' Union, Room 714, 1674 Broadway, New York, N. Y."
Justice,weekly,International Ladies' Garment Workers' Union,"S. Yanofsky, Max D. Danish","3 West 16th Street, New York, New York",40.778389,-73.5343509,American Federation of Labor National and International Unions,"Justice (weekly). Fridays. Established 1918, 12 pages, $1.50, circulation 29,300. International Ladies' Garment Workers' Union, 3 West 16th Street, New York, N. Y. S. Yanofsky, Max D. Danishs."
Lithographers' Journal,monthly,Amalgamated Lithographers of America,C. Halbmeier,"205 West 14th Street, New York, New York",40.73890165,-73.99989212,American Federation of Labor National and International Unions,"Lithographers' Journal (monthly). Established 1915, 44 pages, $1.50, circulation 6,600. Amalgamated Lithographers of America, 205 West 14th Street, New York, N. Y. C. Halbmeier. Labor Bureau, Inc."
Textile Worker,monthly,United Textile Workers of America,Thomas F.  McMahon,"603-9 Bible House, New York, New York",40.7298896,-73.9914165,American Federation of Labor National and International Unions,"Textile Worker, The (monthly). Established 1912, 66 pages, $1. United Textile Workers of America, 603-9 Bible House, New York, N. Y. Thomas F. McMahon. Interna tional Labor News."
Upholsterers' Journal,monthly,Upholsterers' International Union of North America,William Kohn,"230 East 58th Street, New York, New York",40.76018935,-73.96588258,American Federation of Labor National and International Unions,"Upholsterers' Journal (monthly). Established 1922, 28-60 pages, $1, circulation 7,500. Upholsterers' International Union of North America, 230 East 58th Street, New York, N. Y. William Kohn."
Advance,weekly,Amalgamated Clothing Workers of America,Joseph Schlossberg,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Advance, The (weekly). Fridays. Established 1917, 12 pages, $2, circulation 50,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Joseph Schlossberg."
Darbas,fortnightly,Amalgamated Clothing Workers of America,L. Pruseika,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Darbas (fortnightly). Lithuanian. Established 1918, 8 pages, $2, circulation, 6,000. Amalgamated Clothing Workers of America, 31. Union Square, New York, N. Y. ; L. Pruseika."
Fortschrift,fortnightly,Amalgamated Clothing Workers of America,NONE,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Fortschrift (fortnightly). Jewish. Established 1915, 12-16 pages, $2, circulation 35,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
Hotel Worker,monthly,Amalgamated Food Workers,NONE,"133 West 51st Street, New York, New York",40.7614899,-73.98203955,Independent Trade Unions,"Hotel Worker (monthly). Established 1923, 8 pages, circulation 7,000. New York Hotel Workers, branch of the Amalgamated Food Workers, 133 West 51st Street, New York, N. Y."
International Pocketbook Worker,monthly,International Pocketbook Workers' Union,Ossip Walinsky,"62 University Place, New York, New York",40.62948755,-74.09945171,Independent Trade Unions,"International Pocketbook Worker (monthly). Established 1923, 16 pages, circulation 8,000. International Pocketbook Workers' Union, 62 University Place, New York, N. Y. Ossip Walinsky."
Lavoro,fortnightly,Amalgamated Clothing Workers of America,Frank Belanca,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Lavoro, II (fortnightly). Italian. Established 1913, 8 pages, $2, circulation, 30,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Frank Belanca."
Prace,fortnightly,Amalgamated Clothing Workers of Ameri ca,Anton Novotny,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Prace (fortnightly). Bohemian. Established 1920, 8 pages, circula tion 4,000. Amalgamated Clothing Workers of Ameri ca, 31 Union Square, New York, N. Y. Anton No- votny."
Przemyslowa Democracia,fortnightly,Amalgamated Clothing Workers of America,Stanislawa Kucharska,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Przemyslowa Democracia (fortnightly). Polish. Established 1917, 8 pages, $2, circulation 12,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Stanislawa Kucharska. Federated Press."
Rabotchy Golos,monthly,Amalgamated Clothing Workers of America,NONE,"31 Union Square, New York, New York",43.0096214,-78.19489745,Independent Trade Unions,"Rabotchy Golos (monthly). Russian. Established 1919, 4 pages, $2, circulation 2,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
Marine Worker,fortnightly,Marine Transport Workers' Industrial Union No. 510,,"3 Coenties Slip, New York, New York",40.70354273,-74.01066102,Industrial Workers of the World,"Marine Worker (fortnightly). Established 1921, 4 pages, circulation 25,000. Marine Transport Workers' Industrial Union No. 510, The Industrial Workers of the World, 3 Coenties Slip, New York, N. Y."
Industrialist,monthly,Printers' Industrial League of New York,"D'Arcy Milliken,  Martin, Harry Shea, William J. McLaughlin","Washington Bridge Station, New York, New York",40.8480262,-73.930719,Trade Union Educational League and Related Groups,"Industrialist, The (monthly). Established 1922, 4 pages, $.50, circulation 6,000. Printers' Industrial League of New York, Box 63, Washington Bridge Station, New York, N. Y. D'Arcy Milliken, E. M. Martin, Harry Shea, William J. McLaughlin, assoc. eds. Uses mats."
Needle Worker,monthly,Needle Trades Section,NONE,"108 East 14th Street, New York, New York",40.7342945,-73.98934,Trade Union Educational League and Related Groups,"Needle Worker (monthly). Jewish and English. 'Established 1923, 4-8 pages, $.50, circulation 8,000. Needle Trades Section, Trade Union Educational League, 108 East 14th Street, New York, N. Y. Federated Press. Uses mats."
Brookwood Review,monthly,Brookwood Cooperators,NONE,"Katonah, New York",41.25877,-73.6853852,Workers' Education and Research,"Brookwood Review, The (monthly). Established 1922, 4-8 pages, circulation 700. Brookwood Cooperators, Katonah, N. Y. Faculty. Official organ, Brookwood Labor College, a school endorsed by international unions, state federations, central bodies, etc."
Facts for Workers,monthly,Labor Bureau,"George Soule, Sara Bernheim","2 West 43rd Street, New York, New York",40.7542909,-73.9809778,Workers' Education and Research,"Facts for Workers (monthly). Established 1922, 6 pages, $24, circulation 197. Labor Bureau, Inc., 2 West 43rd St., New York, N. Y. George Soule, Sara Bernheims. Combination news service and economic bulletin."
Friend,monthly,The Workmen's Circle,Joseph Baskin,"175 East Broadway, New York, New York",40.8894465,-73.8981876,Workers' Education and Research,"Friend, The (monthly). Jewish and English. Established 1910, 32 pages, circulation 73,000. The Workmen's Circle, 175 East Broadway, New York, N. Y. Joseph Baskin. Labor and Socialist."
Jewish Workers' Voice,monthly,Jewish National Workers' Alliance of America (fraternal order),"Meyer L. Brown, Samuel Goldstein","228 East Broadway, New York, New York",40.8894465,-73.8981876,Workers' Education and Research,"Jewish Workers' Voice (monthly). Established 1912, 32 pages, $1, circulation 8,000. Jewish National Workers Alliance of America (fraternal order), 228 East Broadway, New York, N. Y. Meyer L. Brown, Samuel Goldsteins."
Labor Student,monthly,Rand School of Social Science,"Algernon Lee, Marius Hansome","7 East 15th Street, New York, New York",40.7365271,-73.9923661,Workers' Education and Research,"Labor Student, The (monthly). Established 1925, 16 pages, $.50. Rand School of Social Science, 7 East 15th Street, New York, N. Y. Algernon Lee., Marius Han- some, assoc. ed."
News-Bulletin,bimonthly,League for Industrial Democracy,"Harry W. Laidler, Norman Thomas","70 Fifth Avenue, New York, New York",42.98329493,-78.71033426,Workers' Education and Research,"News-Bulletin (bimonthly). Established 1922, 8-12 pages, cir culation 5,000. League for Industrial Democracy, 70 Fifth Avenue, New York, N. Y. Harry W. Laidler, Norman Thomass."
Official Bulletin,irregular,Workers' School,NONE,"108 East 14th Street, New York, New York",40.7342945,-73.98934,Workers' Education and Research,"Official Bulletin (irregular). Established 1925, 4 pages. Work ers' School, 108 East 14th Street, New York, N. Y."
Solidarity,monthly,Workmen's Sick and Death Benefit Fund of the United States of America,Otto Sattler,"9 Seventh Street, New York, New York",42.6580271,-73.7267393,Workers' Education and Research,"Solidarity (monthly). English and German. Established 1906, 24 pages, $1, circulation 49,000. Workmen's Sick and Death Benefit Fund of the United States of America, 9 Seventh Street, New York, N. Y. Otto Sattler."
Workers' Education,quarterly,Workers' Education Bureau of America,"John P. Frey, Fannia M. Cohn, Spencer Miller, Jr.","476 West 24th Street, New York, New York",40.747972,-74.00300743,Workers' Education and Research,"Workers' Education (quarterly). Established 1923, 40 pages, $1, circulation 1,000. Workers' Education Bureau of America, 476 West 24th Street, New York, N. Y. John P. Frey, Fannia M. Cohn, Spencer Miller, Jr.s."
Associate Magazine,monthly,The Cooperative League of America,Cedric Long,"167 West 12th Street, New York, New York",41.2549781,-73.954615,Cooperation,"Associate Magazine (monthly). Established 1920, 4 pages, circu lation 5-8,000. The Cooperative League of America, 167 West 12th Street, New York, N. Y. Cedric Long. A three-page paper with syndicated material and one page left blank for local society to use."
Cooperation,monthly,The Cooperative League of the United States of America,James P. Warbasse,"167 West 12th Street, New York, New York",41.2549781,-73.954615,Cooperation,"Cooperation (monthly). Established 1914, 20 pages, $1, circula tion 2,000. The Cooperative League of the United States of America, 167 West 12th Street, New York, N. Y. James P. Warbasse. ed."
Cooperative Student,semi-yearly,Cooperative Educational Association Incorporated,J. L. Afros,"400 Stone Avenue, Brooklyn, New York",40.668974,-73.9066729,Cooperation,"Cooperative Student, The (semi-yearly). Established 1923, 4 pages, $.50, circulation 2,200. Cooperative Educational Association, Inc., 400 Stone Avenue, Brooklyn, N. Y. J. L. Afros."
Home Cooperator,monthly,The Cooperative League of America,Cedric Long,"167 West 12th Street, New York, New York",41.2549781,-73.954615,Cooperation,"Home Cooperator (monthly). Established 1920, circulation 5- 8,000. The Cooperative League of America, 167 West 12th Street, New York, N. Y. Cedric Long."
Citizen,weekly,The Citizen Publishing Company,Hawley B. Van Vechten,"156 Barrett Street, Schenectady, New York",42.81243,-73.93957857,Socialist,"Citizen, The (weekly). Fridays. Established 1910, 4-8 pages, $1.50, circulation 2,000. The Citizen Publishing Co., 156 Barrett Street, Schenectady, N. Y. Hawley B. Van Vechten. National Socialist Party press service. Official organ Socialist Party of Schenectady."
Free Youth,monthly,Young People's Socialist League,"Gertrude Weil Klein, Samuel H. Friedman, Morris Novik","7 East 15th Street, New York, New York",40.7365271,-73.9923661,Socialist,"Free Youth (monthly). Established 1924, 20-32 pages, $1, circu lation 3,000. Young People's Socialist League, Greater New York, 7 East 15th Street, New York, N. Y. Gertrude Weil Klein, Samuel H. Friedman, Morris Noviks."
