Title,Address,Editor-Notes,Category,ALPDEntry
American Federationist (monthly),"The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, DC",William Green,American Federation of Labor,"American Federationist (monthly). Established 1894, 64 and more pages, $1. The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. William Green."
American Federation of Labor Weekly News Service (weekly),"The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, DC",NONE,American Federation of Labor,"American Federation of Labor Weekly News Service (weekly). The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. A single page clip-sheet giving ""a brief summary of important matters affecting labor."
International Labor News Service (irregular),"International Labor Press of America, American Federation of Labor Building, Washington, DC",NONE,American Federation of Labor,"International Labor News Service (irregular). International Labor Press of America, American Federation of Labor Building, Washington, D. C."
"Metal Trades Department Bulletin, The (monthly)","Metal Trades Department of the American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, DC",James O'Connell,American Federation of Labor,"Metal Trades Department Bulletin, The (monthly). Established 1919, 8 pages, circulation 1000. Metal Trades Department of the American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. James O'Connell."
"Amalgamated Journal, The (weekly)","Amalgamated Association of Iron, Steel and Tin Workers of North America, 510 Fourth Avenue, Pittsburgh, Pennsylvania",Ben I.  Davis,American Federation of Labor National and International Unions,"Amalgamated Journal, The (weekly). Thursdays. Established 1899, 24 pages, $1.50. Amalgamated Association of Iron, Steel and Tin Workers of North America, 510 Fourth Avenue, Pittsburgh, Pa. Ben I. Davis. International Labor News, Labor Bureau, Inc., Comission of the Interchurch."
American Federation of Teachers Monthly Bulletin (monthly),"Ameri can Federation of Teachers, 327 South La Salle Street, Chicago, Illinois",Stecker,American Federation of Labor National and International Unions,"American Federation of Teachers Monthly Bulletin (monthly). Established 1921, 4 pages, $1, circulation 5,000. Ameri can Federation of Teachers, 327 South La Salle Street, Chicago, Ill. F. G. Stecker. Uses mats."
American Flint (monthly),"American Flint Glass Workers' Union, 337-48 Ohio Building, Toledo, Ohio",Joseph Gillooly,American Federation of Labor National and International Unions,"American Flint (monthly). Established 1909, 48 pages, $1, cir culation 10,000. American Flint Glass Workers' Union, 337-48 Ohio Building, Toledo, Ohio. Joseph Gillooly. International Labor News. Uses mats."
"American Photo Engraver, The (monthly)","International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Illinois",Matthew Woll,American Federation of Labor National and International Unions,"American Photo Engraver, The (monthly). Established 1907, 72 to 80 pages, $.75, circulation 8,000. International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Ill. Matthew Woll. International Labor News."
"American Pressman, The (monthly)","International Printing Pressmen and Assistants' Union of North America, Pressmen's Home, Tennessee",Thomas E Dunwody,American Federation of Labor National and International Unions,"American Pressman, The (monthly). Established 1889, 64 pages, $2, circulation 27,000. International Printing Pressmen and Assistants' Union of North America, Pressmen's Home, Tenn. Thomas E. Dunwody. International Labor News, American Federation of Labor Weekly News."
"Bakers' Journal, The (weekly)","Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Illinois",Charles F Hohmann,American Federation of Labor National and International Unions,"Bakers' Journal, The (weekly). Saturdays. English and Ger man. Established 1885, 4 pages, $1, circulation 28,000. Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Ill. Charles F. Hohmann."
Blacksmiths Journal (bimonthly),"International Brotherhood of Blacksmiths, Drop Forgers and Helpers, 2922 Washing ton Boulevard, Chicago, Illinois",J. W.  Kline,American Federation of Labor National and International Unions,"Blacksmiths Journal (bimonthly). Established 1889, 32-64 pages, $1, circulation 5,000. International Brotherhood of Blacksmiths, Drop Forgers and Helpers, 2922 Washing ton Boulevard, Chicago, Ill. J. W. Kline. Ameri can Federation of Labor Weekly News."
"Boilermakers and Iron Shipbuilders' Journal, The (monthly)","International Brotherhood of Boilermakers, Iron Ship builders, and Helpers of America, Suite 524, Brother hood Building, Kansas City, Kansas",J. B.  Casey,American Federation of Labor National and International Unions,"Boilermakers and Iron Shipbuilders' Journal, The (monthly). Established 1888, 48 pages, $1, circulation 23,000. In ternational Brotherhood of Boilermakers, Iron Ship builders, and Helpers of America, Suite 524, Brother hood Building, Kansas City, Kas. J. B. Casey. and mgr. International Labor News, American Federation of Labor Weekly News."
"Bottle Maker, The (monthly)","Glass Bottle Blowers' Association of the United States and Canada, 1006 Colonial Building, Philadelphia, Pennsylvania",James Maloney,American Federation of Labor National and International Unions,"Bottle Maker, The (monthly). Established 1919, 32 pages, $.50, circulation 3,400. Glass Bottle Blowers' Association of the United States and Canada, 1006 Colonial Building, Philadelphia, Pa. James Maloney. International Labor News."
"Brewery, Flour, Cereal, and Soft Drink Workers' Journal (fortnightly)","The Brewery, Flour, Cereal and Soft Drink Workers' International Union of America, 2347 Vine Street, Cincinnati, Ohio",Julius Zorn,American Federation of Labor National and International Unions,"Brewery, Flour, Cereal, and Soft Drink Workers' Journal (fortnightly). Saturdays. Established 1886, 4 pages, $2, circu lation 16,000. The Brewery, Flour, Cereal and Soft Drink Workers' International Union of America, 2347 Vine Street, Cincinnati, Ohio. Julius Zorn."
"Bricklayer, Mason and Plasterer, The (monthly)","Bricklayers', Masons', and Plasterers' International Union, University Park Building, Indianapolis, Indiana",William Dobson,American Federation of Labor National and International Unions,"Bricklayer, Mason and Plasterer, The (monthly). Established 1896, $.75. Bricklayers', Masons', and Plasterers' In ternational Union, University Park Building, Indian apolis, Ind. William Dobson."
"Bridgemen's Magazine, The (monthly)","International Association of Bridge, Structural, and Ornamental Iron Workers, 1615 Syndicate Trust Building, St. Louis, Missouri",W. J. McCain,American Federation of Labor National and International Unions,"Bridgemen's Magazine, The (monthly). Established 1901, 48 pages, $1, circulation 19,000. International Association of Bridge, Structural, and Ornamental Iron Workers, 1615 Syndicate Trust Building, St. Louis, Mo. W. J. McCain."
"Broom Maker, The (monthly)","International Broom and Whisk Makers' Union, 853 King Place, Chicago, Illinois",Will R.  Boyer,American Federation of Labor National and International Unions,"Broom Maker, The (monthly). Established 1902, 16-20 pages, $1, circulation 1;200. International Broom and Whisk Makers' Union, 853 King Place, Chicago, Ill. Will R. Boyer."
Buchdrucker-Zeitung (fortnightly),"International Typographical Union, 653 Bankers' Trust Building, Indianapolis, Indiana",Hugo Miller,American Federation of Labor National and International Unions,"Buchdrucker-Zeitung (fortnightly). German. Established 1873, 4 pages, $1, circulation 1,100. International Typographical Union, 653 Bankers' Trust Building, Indianapolis, Ind. Hugo Miller."
"Carpenter, The (monthly)","United Brotherhood of Carpenters and Joiners, Carpenters' Building, 222 East Michigan Street, Indianapolis, Indiana",Frank Duffy,American Federation of Labor National and International Unions,"Carpenter, The (monthly). Established 1881, $1, circulation 375,000. United Brotherhood of Carpenters and Joiners, Carpenters' Building, 222 East Michigan Street, In dianapolis, Ind. Frank Duffy. Uses mats."
Cigarmakers' Official Journal (monthly),"Cigarmakers' Interna tional Union of America, Room 620, 508> South Dear born Street, Chicago, Illinois",George W. Perkins,American Federation of Labor National and International Unions,"Cigarmakers' Official Journal (monthly). Established 1864, 16- 50 pages, $1, circulation 19,000. Cigarmakers' Interna tional Union of America, Room 620, 508> South Dear born Street, Chicago, Ill. George W. Perkins."
"Commercial Telegraphers' Journal, The (monthly)","The Commercial Telegraphers' Union of America, 113 South Ashland Boulevard, Chicago, Illinois",NONE,American Federation of Labor National and International Unions,"Commercial Telegraphers' Journal, The (monthly). Established 1902, 32-64 pages, $2. The Commercial Telegraphers' Union of America, 113 South Ashland Boulevard, Chicago, Ill. International Labor News. Uses mats."
"Coopers' International Journal, The (monthly)","Coopers' International Union, Meriweather Building, Kansas City, Kansas.",Forrest M. Krepps,American Federation of Labor National and International Unions,"Coopers' International Journal, The (monthly). Established 1890, 8 pages, $1.25. Coopers' International Union, Meri- weather Building, Kansas City, Kas. Forrest M. Krepps."
"Elevator Constructor, The (monthly)","International Union of Elevator Constructors, 1208 Chestnut Street, Philadelphia, Pennsylvania",Joseph F.  Murphy,American Federation of Labor National and International Unions,"Elevator Constructor, The (monthly). Established 1902, 40 pages, $1, circulation 12,000. International Union of Elevator Constructors, 1208 Chestnut Street, Philadelphia, Pa. Joseph F. Murphy., 391 Fulton Street, B'klyn, N. Y."
